C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:37:43

sptypes = 'K'
-------------

Number of objects : 6163

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
175 |[NF99] 25                          |*  |22 56 20.4 +62 43 26                   |     ~|     ~|14.6  |     ~|     ~|K              |   1|   0
176 |2MASS J22562007+6252228            |TT*|22 56 20.0838308726 +62 52 22.877666178|20.787|     ~|16.74 |     ~|14.42 |K              |   4|   0
177 |2MASS J22562723+6239197            |Y*O|22 56 27.2360085734 +62 39 19.854907592|16.778|     ~|13.89 |     ~|12.10 |K              |   5|   0
178 |[NF99] 29                          |TT*|22 56 28.6 +62 45 29                   |     ~|     ~|15.5  |     ~|     ~|K              |   3|   0
179 |2MASS J22563678+6246031            |Y*O|22 56 36.79 +62 46 03.1                |18.616|     ~|15.51 |     ~|14.06 |K              |   5|   0
180 |2MASS J22563865+6237140            |TT*|22 56 38.6653302107 +62 37 14.201227932|18.366|16.31 |14.62 |     ~|12.37 |K              |   7|   0
181 |2MASS J22570209+6244070            |Y*O|22 57 02.0936499150 +62 44 07.108907119|19.019|     ~|15.30 |     ~|13.27 |K              |   5|   0
182 |2MASS J22562890+6238411            |TT*|22 56 28.9024043733 +62 38 41.250835163|20.391|     ~|16.77 |     ~|14.31 |K              |   5|   0
183 |2MASS J22540723+6253419            |TT*|22 54 07.2366806333 +62 53 42.014982264|20.499|     ~|16.939|     ~|     ~|K              |   2|   0
184 |2MASS J22552505+6236511            |TT*|22 55 25.0497509772 +62 36 51.126003899|19.612|     ~|16.16 |     ~|14.16 |K              |   3|   0
185 |2MASS J22551760+6243231            |Y*O|22 55 17.6045591924 +62 43 23.180379036|18.324|     ~|15.71 |     ~|14.13 |K              |   3|   0
186 |BD+61 2460                         |*  |23 29 49.6715407315 +62 43 09.330022746|     ~|10.39 | 8.94 |     ~|     ~|K              |   0|   0
187 |BD+63 31                           |*  |00 21 04.4633103031 +63 52 06.958674101|     ~|12.41 |10.21 |     ~|     ~|K              |   1|   0
188 |BD+62 27                           |*  |00 13 58.9416254266 +63 44 31.151066456|     ~|11.59 | 9.80 |     ~|     ~|K              |   1|   0
