C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
122  |EM* GGR 8                          |Em*|21 11 19.0666949321 +47 38 47.598448400|     ~|     ~|12.5  |     ~|     ~|A              |   7|   0
123  |HD 203765                          |*  |21 22 39.6901827473 +48 38 36.384930515|     ~| 9.17 | 9.06 |     ~|     ~|A              |   2|   0
124  |HD 204003                          |*  |21 24 12.1959519504 +47 12 23.384718719|     ~| 9.02 | 8.89 |     ~|     ~|A              |   4|   0
125  |HD 204386                          |*  |21 26 43.2730275906 +47 46 36.507145466|     ~| 9.03 | 8.98 |     ~|     ~|A              |   1|   0
126  |HD 205315                          |*  |21 33 06.6010953269 +48 02 42.086697330|     ~| 8.86 | 8.81 |     ~|     ~|A              |  11|   0
127  |HD 204322                          |*  |21 26 18.7094309179 +47 30 52.016933179|     ~| 8.72 | 8.77 |     ~|     ~|A              |   2|   0
128  |HD 203662                          |*  |21 22 16.4414565148 +46 52 06.725599962|     ~| 9.50 | 9.41 |     ~|     ~|A              |   1|   0
129  |V* V537 Cyg                        |Al*|21 34 01.1968654030 +49 55 59.442331041|12.44 |12.48 |11.93 |     ~|     ~|A              |  17|   0
130  |AG+47 1779                         |*  |21 38 04.074 +47 59 57.76              |     ~|11.5  |11.4  |     ~|     ~|A              |   1|   0
131  |NGC 7092 113                       |*  |21 33 00.5986992388 +48 46 19.962295708|     ~|13.27 |12.76 |     ~|     ~|A              |   2|   0
132  |NGC 7092 89                        |*  |21 32 17.0089626496 +48 37 46.218616709|     ~|12.91 |12.57 |     ~|     ~|A              |   2|   0
133  |NGC 7092 121                       |*  |21 33 21.0107524793 +48 38 24.152430541|     ~|13.35 |13.06 |     ~|     ~|A              |   2|   0
134  |NGC 7092 127                       |*  |21 33 27.0800872179 +48 16 44.570152885|     ~|13.07 |12.55 |     ~|     ~|A              |   2|   0
135  |BD+50 3700                         |*  |22 23 53.8379079861 +50 56 13.517426490|     ~|10.36 |10.38 |     ~|     ~|A              |   3|   0
136  |HD 212001                          |Em*|22 20 05.3572626996 +51 45 41.059456446|     ~| 9.17 | 9.20 |     ~|     ~|A              |   6|   0
137  |HD 210263                          |*  |22 07 51.0323521037 +52 52 08.850574300|     ~| 9.30 | 9.11 |     ~|     ~|A              |   2|   0
138  |HD 210714                          |*  |22 11 00.6549292393 +52 24 36.410049884|     ~| 9.38 | 9.07 |     ~|     ~|A              |   6|   0
139  |HD 210730                          |*  |22 11 03.3160377654 +52 10 53.266800788|     ~| 9.21 | 9.13 |     ~|     ~|A              |   2|   0
140  |HD 215790                          |*  |22 46 50.1333237571 +53 50 35.233547076|     ~| 9.09 | 9.01 |     ~|     ~|A              |   4|   0
141  |HD 218713                          |*  |23 09 27.7145653330 +54 36 03.035782992|     ~| 8.67 | 8.60 |     ~|     ~|A              |  10|   0
142  |HD 218110                          |*  |23 04 38.5534868231 +53 02 17.122726069|     ~| 9.10 | 8.85 |     ~|     ~|A              |   2|   0
143  |HD 217113                          |*  |22 57 27.7179441870 +54 03 33.778137251|     ~| 9.20 | 9.16 |     ~|     ~|A              |   3|   0
144  |HD 217509                          |*  |23 00 30.4579258102 +52 53 01.565808262|     ~| 9.29 | 9.07 |     ~|     ~|A              |   3|   0
145  |HD 219359                          |*  |23 14 29.5730841343 +55 25 37.271312033|     ~| 9.21 | 9.06 |     ~|     ~|A              |   2|   0
146  |HD 219674                          |*  |23 17 10.1907151581 +54 34 00.862539253|     ~| 9.48 | 9.46 |     ~|     ~|A              |   1|   0
147  |HD 220087                          |*  |23 20 28.2750476669 +55 30 21.705679703|     ~| 9.16 | 9.09 |     ~|     ~|A              |   3|   0
148  |BD+54 2954B                        |*  |23 20 26.1083908261 +55 31 26.804544785|     ~| 9.94 | 9.88 |     ~|     ~|A              |   0|   0
149  |HD 220181                          |*  |23 21 16.5688135490 +55 12 38.895634941|     ~| 9.14 | 9.05 |     ~|     ~|A              |   1|   0
150  |HD 219383                          |*  |23 14 45.7238571280 +53 55 59.006254228| 8.850| 9.150| 9.050|     ~|     ~|A              |   4|   0
151  |V* DZ Cas                          |bL*|23 39 49.94 +55 52 55.8                |     ~|     ~|11.42 |     ~|     ~|AoV            |  35|   0
