C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
102 |PHL 1466                           |HS*|03 06 08.4918592862 -14 31 52.149938072|     ~|15.7  |16.0  |     ~|     ~|sdOHe            |   5|   0
103 |PG 0310+149                        |HS*|03 13 37.1752356567 +15 06 21.260839282|     ~|15.36 |     ~|     ~|     ~|sdO              |  14|   0
104 |PG 0314+146                        |HS*|03 17 38.0275574585 +14 46 24.049787538|     ~|12.42 |12.73 |12.96 |     ~|sdOC7VIIHe40     |  14|   0
105 |NGC 1360                           |PN |03 33 14.6471964691 -25 52 17.981057073|     ~|10.95 |11.16 |     ~|     ~|sdO              | 272|   0
106 |FBS 0336+354                       |HS*|03 39 46.6397938725 +35 32 46.355203310|     ~|     ~|     ~|16.29 |     ~|sdO              |   6|   0
107 |BPS CS 22190-0003                  |HS*|03 44 58.8251239376 -16 52 42.179845976|13.52 |14.63 |14.90 |     ~|     ~|sdOHe            |  10|   0
108 |Ton S 372                          |HS*|03 42 30.5531152769 -24 11 15.631140411|     ~|14.73 |14.85 |15.39 |14.77 |sdO(+F)          |   8|   0
109 |NGC 1514                           |PN |04 09 16.9857297577 +30 46 33.469936956|     ~|10.01 | 9.48 |     ~|     ~|sdO+A0/3III      | 319|   2
110 |KUV 04233+1502                     |HS*|04 26 08.0197470624 +15 08 28.458555418|     ~|14.57 |14.72 |     ~|     ~|sdO              |  11|   0
111 |BPS CS 22182-0037                  |HS*|04 29 10.7264771195 -29 02 48.059906796|12.55 |13.79 |14.10 |     ~|     ~|sdOHe            |   8|   0
112 |PN K 3-66                          |PN |04 36 37.23 +33 39 30.0                |     ~|     ~|     ~|     ~|     ~|O                |  70|   0
113 |KUV 04402+1455                     |HS*|04 43 03.3390101111 +15 00 24.062861573|     ~|14.18 |13.97 |     ~|     ~|sdO              |  10|   0
114 |KUV 04456+1502                     |HS*|04 48 29.7902790296 +15 07 39.711910399|     ~|     ~|16.1  |     ~|     ~|sdO              |   6|   0
115 |[CW83] 0512-08                     |HS*|05 14 43.9319875151 -08 48 06.375440271|     ~|10.97 |11.34 |     ~|     ~|sdO              |  23|   0
116 |KPD 0549+1948                      |HS*|05 52 40.1336283730 +19 49 13.464927450|13.59 |14.83 |14.92 |15.08 |     ~|sdO              |   9|   0
117 |KPD 0553+1755                      |HS*|05 56 02.3208542502 +17 56 13.214510950|14.24 |15.24 |15.14 |15.00 |     ~|sdO              |   7|   0
118 |KPD 0552+1903                      |HS*|05 55 40.3973745066 +19 04 25.792058923|13.85 |14.79 |14.68 |14.75 |     ~|sdO              |   5|   0
119 |V* AB Lep                          |RS*|05 55 06.6093571032 -22 54 02.422798768|     ~|     ~|     ~|     ~|     ~|sdO+Ke           |  48|   0
120 |LS V +22 38                        |HS*|06 16 13.3273979436 +22 45 48.782736570|11.69 |11.5  |10.9  |10.45 |     ~|sdO              |  21|   0
121 |PN A66 15                          |PN |06 27 02.0385418052 -25 22 49.699315787|     ~|15.41 |15.72 |     ~|     ~|sdOp             | 102|   1
122 |FBS 0649+403                       |HS*|06 52 43.5778429574 +40 17 37.744838939|     ~|13.96 |14.20 |14.54 |     ~|sdOHe            |   6|   0
123 |PN K 2-2                           |PN |06 52 23.1656572228 +09 57 55.769528156|     ~|13.977|14.263|14.390|14.553|sdO              |  67|   0
124 |FBS 0654+366                       |HS*|06 58 02.1274305926 +36 30 19.609802848|     ~|11.97 |12.29 |     ~|     ~|sdOA             |   7|   0
125 |FBS 0701+355                       |HS*|07 04 37.5609571523 +35 22 50.287989449|     ~|13.9  |14.2  |     ~|     ~|sdOA             |   5|   1
126 |RL 129                             |HS*|07 07 03.8548434945 -03 08 54.483291854|     ~|14.71 |14.56 |     ~|     ~|sdO              |   3|   1
127 |KUV 07088+3232                     |HS*|07 12 02.1408855048 +32 26 41.471951196|     ~|14.73 |14.65 |     ~|     ~|sdO              |   5|   0
128 |[CW83] 0711+22                     |HS*|07 14 29.8717762147 +22 16 59.410188944|     ~|11.34 |11.73 |11.98 |     ~|sdOp             |   6|   0
129 |NGC 2371                           |PN |07 25 34.6884571396 +29 29 26.430027683|     ~|14.48 |13.5  |     ~|     ~|Oe               | 352|   0
130 |PN G219.2+07.5                     |PN |07 29 58.4752157301 -02 06 37.599190864|11.749|12.830|13.017|13.076|13.164|sdO              |  67|   0
131 |PN M 1-14                          |PN |07 27 56.5102638256 -20 13 22.651795279|     ~|     ~|     ~|     ~|     ~|O(H)7-9          |  97|   0
132 |HS 0736+3953                       |HS*|07 40 02.9854625010 +39 46 33.008280027|     ~|     ~|     ~|     ~|     ~|sdOHe            |   6|   0
133 |LS 630                             |HS*|07 39 41.7403121727 -27 27 22.033218367|12.04 |13.34 |13.59 |13.87 |     ~|sdOHe            |  19|   0
134 |TYC 7110-1737-1                    |*  |07 39 28.0559008167 -33 33 56.750360711|11.41 |12.06 |11.85 |     ~|     ~|O                |   6|   0
135 |Cl Bochum 15 12                    |*  |07 34 11.8098627934 -33 07 09.926199918|     ~|14.54 |14.77 |     ~|     ~|O                |   3|   0
136 |Cl Bochum 15 15                    |*  |07 32 23.4145724622 -33 40 09.559053626|     ~|12.58 |12.45 |     ~|     ~|O                |   2|   0
137 |Cl Bochum 15 16                    |*  |07 33 04.1750617049 -33 46 07.151146469|     ~|12.31 |12.06 |     ~|     ~|O                |   2|   0
138 |Cl Bochum 15 18                    |*  |07 36 45.3510549095 -33 45 17.741968646|     ~|12.61 |12.14 |     ~|     ~|O                |   2|   0
