C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1846|SP77 54-52                         |*  |05 42 31.4984874773 -69 24 23.078102941|     ~|     ~|13.0  |     ~|     ~|M              |   4|   0
1847|RM 1-790                           |*  |05 42 47.8773683660 -69 25 11.669036669|     ~|15.7  |13.9  |     ~|     ~|M              |   3|   0
1848|[W60] A103                         |*  |05 43 10.4765787187 -69 44 55.307943195|17.054|15.237|13.270|     ~|11.016|M              |   7|   0
1849|SP77 53-9                          |*  |05 35 32.9664962028 -68 19 32.382318808|     ~|13.5  |     ~|     ~|     ~|M              |   2|   0
1850|SP77 53-17                         |*  |05 37 09.0654946078 -68 26 40.981758850|     ~|12.5  |     ~|     ~|     ~|M              |   2|   0
1851|SP77 53-26                         |*  |05 40 25.1296008314 -68 31 27.406415301|     ~|     ~|13.74 |13.02 |     ~|M              |   3|   0
1852|SP77 53-30                         |*  |05 41 01.7772843244 -68 19 40.929119211|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1853|SP77 53-33                         |*  |05 42 02.5302064157 -68 34 46.345178247|     ~|14.95 |12.97 |11.35 |     ~|M              |   4|   0
1854|SP77 53-42                         |*  |05 45 52.8562368983 -67 58 38.288047368|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1855|SP77 61-5                          |*  |05 47 04.9141025031 -67 43 39.842353577|     ~|     ~|13.0  |     ~|     ~|M              |   3|   0
1856|SP77 61-8a                         |*  |05 48 42.5938385904 -68 00 03.960678889|     ~|     ~|13.5  |     ~|     ~|M              |   2|   0
1857|SP77 61-11                         |*  |05 49 35.2111219434 -68 17 11.133972034|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1858|SP77 61-13                         |*  |05 50 02.6225854945 -68 16 10.163900850|     ~|15.7  |13.5  |     ~|     ~|M              |   2|   0
1859|SP77 60-10                         |*  |05 50 33.4981430253 -67 34 45.791922069|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1860|SP77 61-16                         |*  |05 50 32.9069184817 -67 38 35.756463626|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
1861|SV* HV 6071                        |V* |05 50 57.2676218844 -68 23 23.785446887|     ~|15.4  |13.0  |     ~|     ~|M              |   2|   0
1862|SP77 54-48                         |*  |05 42 00.3469890809 -69 26 06.932965609|     ~|     ~|13.0  |     ~|     ~|M              |   4|   0
1863|OGLE LMC-SC2 3386-3387             |*  |05 31 41.76 -69 54 48.1                |     ~|15.3  |13.5  |     ~|16.772|M              |   1|   0
1864|RM 1-616                           |*  |05 33 37.6297913994 -69 11 55.157300952|     ~|     ~|13.83 |12.99 |     ~|M              |   5|   0
1865|W61 27-57                          |LP*|05 36 27.1740124645 -68 54 18.447921089|     ~|14.7  |13.176|     ~|11.304|M              |   8|   0
1866|WOH S 414                          |*  |05 34 25.8960275117 -69 21 48.038005889|     ~|12.484|10.968|10.21 |     ~|M              |   9|   0
1867|SP77 61-37                         |*  |05 56 15.7528831262 -68 42 09.627397907|     ~|14.4  |13.0  |     ~|     ~|M              |   3|   0
1868|[W60] A66                          |LP*|05 37 49.2408894972 -69 19 05.052723241|     ~|14.9  |13.713|     ~|11.486|M              |   7|   0
1869|WOH S 493                          |*  |05 43 48.9348710814 -68 14 40.364788809|     ~|13.434|11.852| 9.32 |     ~|M              |   7|   0
1870|[W60] A53                          |*  |05 35 18.4242770025 -69 16 30.659042804|     ~|15.5  |13.877|13.20 |12.101|M              |   8|   0
1871|2MASS J05333511-6854544            |LP*|05 33 35.1210631882 -68 54 54.432693530|     ~|     ~|15.00 |14.08 |     ~|MV:e           |   5|   0
1872|V* YY Dor                          |No*|05 56 42.43 -68 54 34.5                |     ~|19.0  |     ~|18.9  |     ~|M              |  33|   0
1873|WOH G 478                          |LP*|05 41 20.2611968586 -70 08 23.294148938|     ~|     ~|16.93 |13.954|13.799|M              |   5|   1
1874|SHV 0529467-693825                 |LP*|05 29 22.6642090611 -69 36 13.038511092|     ~|     ~|17.72 |16.31 |14.366|MS             |  10|   0
1875|RHV 0526437-675423                 |Mi*|05 26 34.6650524732 -67 51 58.437291189|     ~|14.55 |16.19 |14.405|14.218|M              |  11|   0
1876|SP77 46-37                         |*  |05 28 52.7044615699 -67 55 17.626706072|     ~|14.7  |13.0  |     ~|     ~|M              |   6|   0
1877|W61 24-22                          |*  |05 31 46.5300118041 -67 21 16.538819752|     ~|15.07 |13.35 |12.41 |     ~|M              |   4|   0
1878|SHV 0522380-691255                 |Mi*|05 22 18.2792547893 -69 10 10.426382790|     ~|     ~|16.74 |14.261|14.118|MS             |  10|   0
1879|SHV 0524565-694559                 |Mi*|05 24 31.8043766148 -69 43 26.878800827|     ~|     ~|16.90 |14.088|13.967|MS5            |  14|   0
1880|WOH G 347                          |*  |05 27 40.11 -69 08 04.5                |     ~|     ~|12.319| 8.0  |10.495|M              |  13|   1
1881|IRAS 05058-6843                    |LP*|05 05 41.50 -68 39 09.4                |     ~|     ~|     ~|     ~|19.406|M              |   5|   0
1882|SP77 46-42                         |*  |05 29 32.7737792328 -68 36 49.152828499|     ~|14.476|12.834|     ~|     ~|M              |   4|   0
1883|[BE74] 501                         |LP*|04 59 45.5139559104 -69 35 24.999426592|     ~|     ~|15.75 |13.415|13.131|M              |   7|   0
1884|WOH G 306                          |Em*|05 23 37.6177971305 -70 04 49.676151480|     ~|     ~|     ~|14.23 |     ~|M              |   4|   0
1885|SP77 46-7                          |Em*|05 23 15.4781262776 -67 59 40.970106090|     ~|14.7  |12.908|12.42 |10.962|M              |  13|   0
1886|WOH S 155                          |LP*|05 05 34.4407565708 -67 42 32.605434311|     ~|     ~|15.98 |13.097|12.893|M              |   5|   0
1887|WOH S 183                          |Mi*|05 10 27.2378240467 -68 53 10.774778776|     ~|     ~|19.04 |13.615|12.961|M              |   9|   0
1888|WOH S 198                          |LP*|05 13 52.89 -69 20 34.7                |     ~|     ~|15.858|13.684|13.589|M              |   5|   0
1889|WOH S 202                          |*  |05 14 17.9619911975 -68 39 05.730747600|     ~|     ~|14.376|13.23 |11.933|M              |   4|   0
1890|WOH S 240                          |*  |05 21 32.4889620409 -67 30 13.373767395|     ~|     ~|15.43 |14.05 |     ~|M              |   3|   0
1891|WOH S 249                          |*  |05 22 38.1330618618 -67 47 43.131035226|     ~|15.2  |13.9  |     ~|     ~|M              |   3|   0
1892|SP77 45-4                          |*  |05 23 47.5645820613 -67 24 10.124050187|     ~|     ~|13.0  |     ~|     ~|M              |   5|   0
1893|WOH S 276                          |*  |05 25 36.9716223080 -68 36 55.230920361|     ~|15.74 |13.98 |12.88 |     ~|M              |   3|   0
1894|WOH S 284                          |LP*|05 26 28.111 -67 23 43.91              |     ~|     ~|15.96 |14.52 |     ~|M              |   2|   0
1895|WOH S 303                          |Mi*|05 27 33.0495960519 -70 01 08.471553223|     ~|15.7  |15.708|     ~|12.345|M              |   4|   1
1896|W61 17-58                          |*  |05 28 08.1768033782 -69 02 13.877778315|     ~|     ~|14.423|     ~|11.716|M              |   3|   0
1897|WOH S 317                          |LP*|05 28 16.3917870355 -69 27 21.835746311|     ~|15.6  |14.93 |13.79 |12.248|M              |   5|   0
1898|WOH S 328                          |*  |05 29 03.3642015624 -67 41 15.842857284|     ~|16.3  |14.2  |     ~|     ~|M              |   4|   0
1899|W61 19-1                           |*  |05 32 05.4188091877 -67 31 46.594587957|     ~|14.7  |13.0  |     ~|     ~|M              |   7|   0
1900|WOH G 117                          |*  |05 00 14.5946115713 -69 10 41.752305816|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1901|WOH G 121                          |LP*|05 00 46.6383199115 -69 04 04.020686342|     ~|16.58 |15.212|12.719|12.482|M              |   4|   0
1902|WOH G 129                          |Mi*|05 01 29.590 -68 42 45.03              |     ~|     ~|15.953|     ~|12.577|M              |   4|   1
1903|WOH G 163                          |LP*|05 04 59.3740520765 -69 21 49.677744242|     ~|     ~|15.91 |12.890|12.857|M              |   4|   0
1904|SV* HV 13023                       |LP*|05 07 02.4650312189 -68 47 51.247913515|     ~|16.39 |15.18 |14.07 |11.987|M              |   6|   1
1905|WOH G 185                          |LP*|05 07 13.2178079778 -69 20 03.855819090|     ~|     ~|16.190|13.246|13.197|M              |   5|   0
1906|WOH G 187                          |Mi*|05 07 18.7172427386 -69 23 10.606566304|20.385|17.303|16.837|12.936|12.815|M              |   6|   0
1907|WOH G 196                          |LP*|05 08 00.2953149825 -68 51 40.122588449|     ~|     ~|16.33 |13.264|13.020|M              |   5|   0
1908|WOH G 200                          |LP*|05 08 50.8423075658 -67 14 39.141017308|     ~|     ~|16.43 |14.104|13.884|M              |   4|   0
1909|WOH G 204                          |LP*|05 09 42.3525387517 -67 35 52.294603162|     ~|     ~|15.524|     ~|12.546|M              |   4|   0
1910|WOH G 210                          |LP*|05 10 18.7517206534 -69 18 29.035084611|     ~|     ~|16.06 |14.68 |12.984|M              |   3|   0
1911|WOH G 221                          |LP*|05 11 48.2642721444 -68 58 42.541041583|     ~|     ~|16.37 |13.058|12.957|M              |   4|   0
1912|WOH G 223                          |LP*|05 12 03.391 -68 43 12.25              |     ~|     ~|16.02 |14.72 |13.008|M              |   4|   0
1913|WOH G 224                          |LP*|05 12 04.6279066230 -68 45 49.737045081|     ~|     ~|15.498|13.528|13.320|M              |   5|   0
1914|WOH G 227                          |LP*|05 12 14.6985308625 -69 01 18.834712746|     ~|     ~|16.24 |14.67 |12.837|M              |   3|   0
1915|WOH G 237                          |LP*|05 14 24.354 -68 21 13.10              |     ~|     ~|16.22 |15.48 |14.411|M              |   4|   0
1916|WOH G 238                          |*  |05 14 38.386 -69 48 57.14              |     ~|     ~|15.78 |14.62 |     ~|M              |   2|   0
1917|WOH G 239                          |LP*|05 14 58.2365761930 -68 37 12.842647890|     ~|     ~|16.31 |13.652|13.453|M              |   4|   0
1918|WOH G 240                          |LP*|05 14 56.6070155156 -69 48 40.426310633|     ~|     ~|16.63 |14.092|14.029|M              |   4|   0
1919|WOH G 241                          |*  |05 15 03.1856343846 -69 35 39.856011009|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1920|WOH G 242                          |LP*|05 15 03.3005544265 -69 46 36.190098505|     ~|     ~|15.99 |15.00 |14.149|M              |   3|   0
1921|WOH G 245                          |*  |05 15 29.9264330410 -69 35 45.826076359|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1922|WOH G 248                          |LP*|05 15 52.4023467466 -69 47 13.227592522|     ~|     ~|16.19 |13.072|12.938|M              |   5|   0
1923|WOH G 250                          |LP*|05 16 04.7401805052 -68 54 53.222106525|     ~|     ~|15.33 |13.93 |12.397|M              |   3|   0
1924|WOH G 254                          |LP*|05 16 23.3873717559 -69 00 15.087534473|     ~|     ~|15.90 |12.972|12.553|M              |   4|   0
1925|WOH G 261                          |LP*|05 17 53.5594259093 -69 33 31.770780348|     ~|     ~|15.272|12.841|12.697|M              |   4|   0
1926|WOH G 265                          |*  |05 19 15.7879012347 -68 56 03.896576150|     ~|14.66 |13.21 |12.36 |     ~|M              |   3|   0
1927|WOH G 269                          |LP*|05 19 35.7490490879 -69 45 30.469039707|     ~|     ~|16.13 |14.61 |12.741|M              |   3|   0
1928|WOH G 272                          |mul|05 19 56.26 -67 37 39.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   1
1929|WOH G 273                          |LP*|05 19 50.1950407102 -69 16 46.374879203|     ~|     ~|15.84 |12.624|12.690|M              |   4|   0
1930|WOH G 275                          |LP*|05 20 10.6148530884 -67 23 54.200258492|     ~|     ~|16.32 |15.08 |     ~|M              |   2|   0
1931|WOH G 276                          |LP*|05 20 08.7235987147 -69 32 15.725035119|     ~|     ~|16.49 |13.012|13.010|M              |   5|   0
1932|WOH G 291                          |LP*|05 21 58.7398235939 -69 58 58.693474111|     ~|     ~|15.637|12.847|12.725|M              |   4|   0
1933|WOH G 304                          |*  |05 23 29.4690805158 -69 42 49.776104896|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
1934|WOH G 321                          |LP*|05 25 44.7048563986 -69 27 40.371688567|     ~|     ~|16.25 |12.930|12.781|M              |   6|   0
1935|WOH G 329                          |*  |05 26 30.4102954889 -69 48 03.319484355|     ~|     ~|14.53 |13.60 |     ~|M              |   3|   0
1936|WOH G 332                          |LP*|05 26 40.4087343360 -70 00 57.817274862|     ~|     ~|16.32 |13.040|12.931|M              |   4|   0
1937|WOH G 334                          |LP*|05 26 48.9580336340 -69 13 25.399385872|     ~|     ~|15.49 |13.233|13.112|M              |   4|   0
1938|WOH G 335                          |LP*|05 26 55.8418253872 -69 31 57.655089122|     ~|     ~|15.90 |12.835|12.666|M              |   5|   0
1939|WOH G 336                          |LP*|05 27 00.407 -69 36 50.09              |     ~|     ~|16.62 |15.29 |13.620|M              |   4|   0
1940|WOH G 337                          |*  |05 27 01.5619601117 -69 59 44.523023014|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
1941|SP77 45-14a                        |*  |05 27 22.7595030680 -67 29 01.477953519|     ~|     ~|13.0  |     ~|     ~|M              |   4|   0
1942|WOH G 342                          |LP*|05 27 18.7490887860 -69 10 42.899010926|     ~|     ~|15.939|13.126|12.765|M              |   3|   0
1943|WOH G 344                          |LP*|05 27 24.6416617486 -69 38 11.400487791|     ~|     ~|17.004|12.935|12.947|M              |   3|   0
1944|WOH G 348                          |LP*|05 27 59.127 -69 19 32.71              |     ~|     ~|15.940|13.885|13.806|M              |   3|   0
1945|WOH G 350                          |*  |05 28 10.9276124070 -69 06 48.215582552|     ~|15.7  |13.9  |     ~|     ~|M              |   3|   0
1946|WOH G 355                          |LP*|05 28 46.0278066547 -69 54 45.476720512|     ~|     ~|15.637|     ~|12.629|M              |   2|   0
1947|WOH G 356                          |LP*|05 29 00.7542704351 -67 42 16.599777399|     ~|     ~|16.03 |13.803|     ~|M              |   3|   0
1948|WOH G 360                          |LP*|05 29 13.9337826994 -67 58 55.225513110|     ~|     ~|16.26 |13.979|13.747|M              |   5|   0
1949|WOH G 362                          |LP*|05 29 21.5894466050 -67 29 29.926291057|     ~|     ~|     ~|14.253|     ~|M              |   4|   0
1950|WOH G 372                          |LP*|05 29 56.349 -69 17 20.32              |     ~|     ~|15.62 |13.457|13.452|M              |   4|   0
1951|SP77 46-9                          |*  |05 23 38.2061941192 -68 37 18.489671753|     ~|     ~|13.0  |     ~|     ~|M              |   2|   0
